State,Id,type,value,stdev,lb,ub
reaction,v1,fixed,100,1,0,300
reaction,v2,free,100,1,0,300
reaction,v3,free,50,1,0,300
reaction,v4,free,50,1,0,300
reaction,v5,free,50,1,0,300
reaction,v6,free,125,1,0,300
reaction,v7,free,75,1,0,300
reaction,v8,free,50,1,0,300
reaction,v9,free,50,1,0,300
metabolite,CO2ex,fixed,100,1,0,300
metabolite,AcCoA,fixed,100,1,0,300
metabolite,OAC,fixed,100,1,0,300
metabolite,Cit,fixed,100,1,0,300
metabolite,AKG,fixed,100,1,0,300
metabolite,Suc,fixed,100,1,0,300
metabolite,Fum,fixed,100,1,0,300
metabolite,Glu,fixed,100,1,0,300
metabolite,Asp,fixed,10,1,0,300
reversible,FUM,free,50,1,0,300
