Id,Reaction,External ids,SLSQP,Type,Value,Stdev, lb,ub,Atom_mapping,Reversible
RSS,,,300.6403184171675
Thres,,,82.5287265414718
p_value,,,1.1112307919545747e-32
Id,Reaction,External ids,SLSQP,Type,Value,Stdev, lb,ub,Atom_mapping,Reversible
v1,SubsGlc-->G6P,(kegg:R02848),75.0,fixed,75.0,1.0,0.0,300.0,ABCDEF-->ABCDEF,no
v2,G6P-->{2}PEP,(kegg:R01068r),75.0,free,75.0,1.0,0.0,300.0,ABCDEF-->CBA+DEF,no
v3,PEP-->Pyr,(kegg:R01196),52.955741326588765,free,90.0,1.0,0.0,300.0,ABC-->ABC,no
v4,PEP+CO2in-->OAC,(kegg:Lacex),121.42023784689187,free,60.0,1.0,0.0,300.0,ABC+D-->ABCD,no
v5,OAC-->PEP+CO2in,(kegg:SubsGln),24.375979173480612,free,0.0,1.0,0.0,300.0,ABCD-->ABC+D,no
v6,OAC-->Pyr+CO2in,(kegg:R00253),60.83955717795996,free,10.0,1.0,0.0,300.0,ABCD-->ABC+D,no
v7,Pyr-->AcCoA+CO2in,(kegg:R00709f),113.79529850454873,free,100.0,1.0,0.0,300.0,ABC-->BC+A,no
v8,AcCoA+OAC-->Cit,(kegg:R00351),113.79529850454873,free,100.0,1.0,0.0,300.0,AB+CDEF-->FEDBAC,no
v9,Cit-->AKG+CO2ex,(kegg:R00709),113.79529850454873,free,100.0,1.0,0.0,300.0,ABCDEF-->ABCDE+F,no
v10,AKG-->Glu,(kegg:R00243),36.20470149545128,free,50.0,1.0,0.0,300.0,ABCDE-->ABCDE,no
v11,AKG-->Suc+CO2ex,(kegg:R01197),77.59059700909744,free,50.0,1.0,0.0,300.0,ABCDE-->BCDE+A,no
v12,Suc-->Fum,(kegg:R02164),77.59059700909744,free,50.0,1.0,0.0,300.0,ABCD-->ABCD,no
v13,Fum-->OAC,(kegg:R01082),127.62088116186472,free,125.0,1.0,0.0,300.0,ABCD-->ABCD,no
v14,OAC-->Fum,(kegg:R01082),50.03028415276728,free,75.0,1.0,0.0,300.0,ABCD-->ABCD,no
v15,Glu-->Gluex,(kegg:R00243),36.20470149545128,fitting,50.0,5.0,0.0,300.0,nd,no
v16,CO2in-->CO2ex,(kegg:Glu),77.59059700909744,free,200.0,1.0,0.0,300.0,nd,no
FUM,v13<=>v14,(kegg:R01082),77.59059700909744,free,50.0,1.0,0.0,300.0,,
Experiment,Fragment_Num,Time,SLSQP,Use,Ratio,Stdev
tc,AKGe_0,0,0.9476331774453796,tc,1,0.9397095524698728,0.01
tc,AKGe_1,0,0.051246390329609676,tc,1,0.04981045118260189,0.01
tc,AKGe_2,0,0.0011083865674698413,tc,0,0.006275272787171345,0.01
tc,AKGe_3,0,1.1980818467870732e-05,tc,0,0.0006377013261034511,0.01
tc,AKGe_4,0,6.469947621408651e-08,tc,0,0.0033572564562460577,0.01
tc,AKGe_5,0,1.3959676006139955e-10,tc,0,0.00020976577800440945,0.01
tc,OACe_0,0,0.9578823944642642,tc,1,0.946807976758005,0.01
tc,OACe_1,0,0.04144056938944054,tc,1,0.0426048293445472,0.01
tc,OACe_2,0,0.0006721983703517922,tc,0,0.0069638229824859725,0.01
tc,OACe_3,0,4.824901245402741e-06,tc,0,0.003503522716718374,0.01
tc,OACe_4,0,1.28746982468117e-08,tc,0,0.00011984819824335974,0.01
tc,PEPe_0,0,0.968242432087554,tc,1,0.9610792263362568,0.01
tc,PEPe_1,0,0.03141670271400081,tc,1,0.03013911751891575,0.01
tc,PEPe_2,0,0.00033967905983150305,tc,0,0.0019563174151192636,0.01
tc,PEPe_3,0,1.1861386137318332e-06,tc,0,0.006825338729708301,0.01
tc,AKGe_0,5.0,0.5250015557491121,tc,1,0.5463073302383148,0.01
tc,AKGe_1,5.0,0.07577264594425466,tc,1,0.06762646867384904,0.01
tc,AKGe_2,5.0,0.28354112908813855,tc,1,0.2861592778943347,0.01
tc,AKGe_3,5.0,0.061163262618168124,tc,1,0.056546025856399236,0.01
tc,AKGe_4,5.0,0.04261638674872863,tc,1,0.033809291792504526,0.01
tc,AKGe_5,5.0,0.011905019855616171,tc,0,0.009551605544597707,0.01
tc,OACe_0,5.0,0.595010964368397,tc,1,0.6451229034403322,0.01
tc,OACe_1,5.0,0.08976099551700553,tc,1,0.097570306011796,0.01
tc,OACe_2,5.0,0.05342503526837565,tc,1,0.03953095409556126,0.01
tc,OACe_3,5.0,0.2065876114585331,tc,1,0.1584322610076869,0.01
tc,OACe_4,5.0,0.05521539337411963,tc,1,0.05934357544462363,0.01
tc,PEPe_0,5.0,0.5297728800034335,tc,1,0.5018908931523226,0.01
tc,PEPe_1,5.0,0.020341652996939682,tc,1,0.019999857424751025,0.01
tc,PEPe_2,5.0,0.0053500926933047225,tc,0,0.0,0.01
tc,PEPe_3,5.0,0.4445353742956891,tc,1,0.4781092494229264,0.01
tc,AKGe_0,10,0.2204618932215643,tc,1,0.24492674018075652,0.01
tc,AKGe_1,10,0.13960280706657918,tc,1,0.0923259650501624,0.01
tc,AKGe_2,10,0.30058471862693215,tc,1,0.3132131849121008,0.01
tc,AKGe_3,10,0.1769608841809222,tc,1,0.1705574249203016,0.01
tc,AKGe_4,10,0.10522212399575433,tc,1,0.10004847928781078,0.01
tc,AKGe_5,10,0.05716757290829112,tc,1,0.07892820564886782,0.01
tc,OACe_0,10,0.34570418084040067,tc,1,0.3846830098810779,0.01
tc,OACe_1,10,0.15970538891375777,tc,1,0.14402737469953977,0.01
tc,OACe_2,10,0.15161737915227647,tc,1,0.15581293907394753,0.01
tc,OACe_3,10,0.19969324506508454,tc,1,0.16414722512009744,0.01
tc,OACe_4,10,0.14327980602821144,tc,1,0.15132945122533728,0.01
tc,PEPe_0,10,0.48316331828265136,tc,1,0.4864628526640966,0.01
tc,PEPe_1,10,0.030087582345137087,tc,1,0.012349901441459601,0.01
tc,PEPe_2,10,0.015014519015898104,tc,0,0.0,0.01
tc,PEPe_3,10,0.4717345803562062,tc,1,0.5011872458944439,0.01
tc,AKGe_0,15,0.13477875954763288,tc,1,0.1582852535429252,0.01
tc,AKGe_1,15,0.15004403434015906,tc,1,0.1201125258263289,0.01
tc,AKGe_2,15,0.2690776345179421,tc,1,0.2743629295986623,0.01
tc,AKGe_3,15,0.22922682294179686,tc,1,0.21868183038028532,0.01
tc,AKGe_4,15,0.13177211836806937,tc,1,0.11955121448348859,0.01
tc,AKGe_5,15,0.08510063029325118,tc,1,0.10900624616830971,0.01
tc,OACe_0,15,0.24830179686532866,tc,1,0.27596424682563353,0.01
tc,OACe_1,15,0.19947042135861165,tc,1,0.1761454458808597,0.01
tc,OACe_2,15,0.1603660110420727,tc,1,0.1761332207003596,0.01
tc,OACe_3,15,0.2060776027200247,tc,1,0.18321559192955805,0.01
tc,OACe_4,15,0.18578416800741426,tc,1,0.18854149466358913,0.01
tc,PEPe_0,15,0.4705936027238211,tc,1,0.4874283198050928,0.01
tc,PEPe_1,15,0.03398654683245596,tc,1,0.010342079232225023,0.01
tc,PEPe_2,15,0.01847122814665256,tc,0,0.002123088927347982,0.01
tc,PEPe_3,15,0.47694862229734886,tc,1,0.5001065120353343,0.01
tc,AKGe_0,30,0.10197470903028374,tc,1,0.12577518736361448,0.01
tc,AKGe_1,30,0.14305484222679588,tc,1,0.12662115672534482,0.01
tc,AKGe_2,30,0.24999120135763406,tc,1,0.2525314770821047,0.01
tc,AKGe_3,30,0.25242523235629033,tc,1,0.2447228326033469,0.01
tc,AKGe_4,30,0.1462059445913966,tc,1,0.12459382191887443,0.01
tc,AKGe_5,30,0.10634807043735836,tc,1,0.12575552430671463,0.01
tc,OACe_0,30,0.20625212608862145,tc,1,0.21948711801109702,0.01
tc,OACe_1,30,0.21046943590498915,tc,1,0.18377800782582043,0.01
tc,OACe_2,30,0.1597798558057796,tc,1,0.17449182271142027,0.01
tc,OACe_3,30,0.20958194437753547,tc,1,0.19379603556255784,0.01
tc,OACe_4,30,0.21391663782372514,tc,1,0.22844701588910446,0.01
tc,PEPe_0,30,0.46530907110205627,tc,1,0.4811018728377792,0.01
tc,PEPe_1,30,0.034374232810200855,tc,1,0.01761633259849252,0.01
tc,PEPe_2,30,0.01998018149638711,tc,0,0.006425135870789148,0.01
tc,PEPe_3,30,0.4803365145913576,tc,1,0.4948566586929391,0.01
tc,AKGe_0,50,0.10059120325420369,tc,1,0.12362489069982874,0.01
tc,AKGe_1,50,0.1424224274875779,tc,1,0.11803383304132857,0.01
tc,AKGe_2,50,0.24891838462458238,tc,1,0.246355740060739,0.01
tc,AKGe_3,50,0.25348190485773525,tc,1,0.2520559802313333,0.01
tc,AKGe_4,50,0.1468735244325776,tc,1,0.13151140266547737,0.01
tc,AKGe_5,50,0.10771255533864325,tc,1,0.1284181533012931,0.01
tc,OACe_0,50,0.2044353446478234,tc,1,0.21186996587318266,0.01
tc,OACe_1,50,0.21059763965260714,tc,1,0.19323719885101173,0.01
tc,OACe_2,50,0.15976687371883927,tc,1,0.17945800722586017,0.01
tc,OACe_3,50,0.2095236551025614,tc,1,0.1936196307063965,0.01
tc,OACe_4,50,0.2156764868755271,tc,1,0.2218151973435489,0.01
tc,PEPe_0,50,0.4650832969200048,tc,1,0.48730436907005953,0.01
tc,PEPe_1,50,0.034334095712771115,tc,1,0.014837665293605523,0.01
tc,PEPe_2,50,0.020031115921051567,tc,0,0.009809267042165774,0.01
tc,PEPe_3,50,0.48055149144688675,tc,1,0.48804869859416916,0.01
